zip,geoid,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio
98001,53033030405,AUBURN,WA,0.10587168442530039,0.012942779291553134,0.006578947368421052,0.09388401398693673
98001,53053073501,AUBURN,WA,7.556865412227008e-05,0.0,0.0,6.597611664577422e-05
98001,53033030901,AUBURN,WA,0.0765510466258596,0.04223433242506812,0.06359649122807018,0.07283763277693475
98001,53033029804,AUBURN,WA,0.00816141464520517,0.0,0.0,0.007125420597743617
98001,53033030407,AUBURN,WA,0.07738230182120456,0.06948228882833787,0.05482456140350877,0.07593851025928613
98001,53033030801,AUBURN,WA,0.00015113730824454016,0.23160762942779292,0.09868421052631579,0.025532757141914626
98001,53033030902,AUBURN,WA,0.004458550593213935,0.0034059945504087193,0.0021929824561403508,0.004288447581975325
98001,53033029805,AUBURN,WA,0.14509181591475856,0.01226158038147139,0.015350877192982455,0.12832354687603087
98001,53033029806,AUBURN,WA,0.09929721151666289,0.006130790190735695,0.0043859649122807015,0.08741835455565085
98001,53033030404,AUBURN,WA,0.1010352905614751,0.009536784741144414,0.019736842105263157,0.08972751863825296
98001,53033030406,AUBURN,WA,0.017002947177510767,0.0027247956403269754,0.021929824561403508,0.01576829187834004
98001,53033030501,AUBURN,WA,0.067709514093554,0.46253405994550406,0.5241228070175439,0.11968067559543445
98001,53033029902,AUBURN,WA,0.15982770346860123,0.1369209809264305,0.16447368421052633,0.15774889490004618
98001,53033029901,AUBURN,WA,0.13723267588604246,0.010217983651226158,0.02412280701754386,0.12152800686151613
98001,53033029803,AUBURN,WA,0.00015113730824454016,0.0,0.0,0.00013195223329154845
98002,53033030801,AUBURN,WA,0.15459832555761488,0.08392056374119154,0.25891677675033026,0.15714133105437453
98002,53033030504,AUBURN,WA,0.1303764299865789,0.05957719410634209,0.12945838837516513,0.12439910265997223
98002,53033030501,AUBURN,WA,0.08244391896210136,0.3600256245996156,0.0964332892998679,0.1067193675889328
98002,53033030503,AUBURN,WA,0.1962676551415607,0.13901345291479822,0.190224570673712,0.19100523448349535
98002,53033030802,AUBURN,WA,0.10487633412155685,0.026905829596412557,0.071334214002642,0.09566285653242175
98002,53033031102,AUBURN,WA,0.045248290407106796,0.0032030749519538757,0.001321003963011889,0.038190364277320796
98002,53033031101,AUBURN,WA,0.031060267143861443,0.010249839846252402,0.047556142668428,0.030659117615639355
98002,53033030700,AUBURN,WA,0.10851920495941714,0.10377962844330557,0.06010568031704095,0.104208952035039
98002,53033030600,AUBURN,WA,0.14660957372020195,0.21332479180012812,0.14464993394980186,0.1520136737528042
98003,53033030407,FEDERAL WAY,WA,0.0004759185227489054,0.000395882818685669,0.0,0.00042701863354037265
98003,53033030008,FEDERAL WAY,WA,0.0804778221968399,0.0055423594615993665,0.0747074707470747,0.07263198757763975
98003,53033030201,FEDERAL WAY,WA,0.0039501237388159145,0.00870942201108472,0.0013501350135013501,0.004192546583850931
98003,53033030204,FEDERAL WAY,WA,0.076956025128498,0.040380047505938245,0.0288028802880288,0.06921583850931677
98003,53033030313,FEDERAL WAY,WA,0.09342280601561012,0.35312747426761676,0.18361836183618363,0.1266692546583851
98003,53033030314,FEDERAL WAY,WA,0.11778983438035408,0.19912905779889153,0.14806480648064807,0.12837732919254657
98003,53033030102,FEDERAL WAY,WA,0.04354654483152484,0.0011876484560570072,0.0,0.03563664596273292
98003,53033030005,FEDERAL WAY,WA,0.09727774604987627,0.0447347585114806,0.047254725472547256,0.08781055900621118
98003,53033030406,FEDERAL WAY,WA,0.0412621359223301,0.000791765637371338,0.0306030603060306,0.03637422360248447
98003,53033030304,FEDERAL WAY,WA,0.041452503331429656,0.06690419635787807,0.018001800180018002,0.04192546583850932
98003,53033030003,FEDERAL WAY,WA,0.02722253950123739,0.020190023752969122,0.021602160216021602,0.026048136645962734
98003,53033030309,FEDERAL WAY,WA,0.03893013516086046,0.05265241488519398,0.17866786678667868,0.05232919254658385
98003,53033029901,FEDERAL WAY,WA,9.518370454978108e-05,0.000395882818685669,0.0,0.00011645962732919254
98003,53033030404,FEDERAL WAY,WA,0.024224252807919285,0.001979414093428345,0.0013501350135013501,0.020069875776397517
98003,53033030403,FEDERAL WAY,WA,0.06258328574148106,0.000791765637371338,0.0009000900090009,0.05120341614906832
98003,53033030006,FEDERAL WAY,WA,0.09418427565200838,0.14924782264449724,0.1494149414941494,0.10434782608695652
98003,53033030007,FEDERAL WAY,WA,0.08418998667428136,0.009897070467141725,0.0351035103510351,0.07267080745341616
98003,53033030203,FEDERAL WAY,WA,0.06386826575290311,0.043547110055423596,0.0153015301530153,0.05768633540372671
98003,53033030310,FEDERAL WAY,WA,0.008090614886731391,0.000395882818685669,0.06525652565256526,0.012267080745341614
98004,53033023901,BELLEVUE,WA,0.08340450973693202,0.005452212957023733,0.06453558504221954,0.07367338251986379
98004,53033023805,BELLEVUE,WA,0.12008882815169115,0.09236690186016677,0.08443908323281062,0.11492622020431328
98004,53033024100,BELLEVUE,WA,0.07533310556884182,0.004490057729313663,0.0048250904704463205,0.06335130533484677
98004,53033023807,BELLEVUE,WA,0.18534335497096002,0.28864656831302116,0.10072376357056695,0.19179199772985245
98004,53033023601,BELLEVUE,WA,4.270584215920738e-05,0.03559974342527261,0.005428226779252111,0.00429199772985244
98004,53033023702,BELLEVUE,WA,0.0074735223778612915,0.12219371391917896,0.05790108564535585,0.023127128263337116
98004,53033022701,BELLEVUE,WA,4.270584215920738e-05,0.0025657472738935213,0.0012062726176115801,0.0003901816118047673
98004,53033024002,BELLEVUE,WA,0.08694909463614622,0.007055805003207184,0.0971049457177322,0.07871027241770714
98004,53033023801,BELLEVUE,WA,0.091433208062863,0.0949326491340603,0.09650180940892641,0.0921183314415437
98004,53033023902,BELLEVUE,WA,0.02639221045439016,0.00032071840923669016,0.011459589867310011,0.022630533484676505
98004,53033024200,BELLEVUE,WA,4.270584215920738e-05,0.0,0.0,3.547105561861521e-05
98004,53033023808,BELLEVUE,WA,0.11073624871882473,0.10455420141116101,0.10494571773220748,0.10971197502837685
98004,53033024001,BELLEVUE,WA,0.08579603689784762,0.11738293778062861,0.15560916767189384,0.09339528944381385
98004,53033023806,BELLEVUE,WA,0.09531943969935087,0.07312379730596537,0.039806996381182146,0.08959988649262202
98004,53033023701,BELLEVUE,WA,0.03160232319781346,0.05131494547787043,0.17551266586248493,0.04224602724177071
98005,53033023601,BELLEVUE,WA,0.17572214580467677,0.22282120395327942,0.19964507542147295,0.1855759682224429
98005,53033023604,BELLEVUE,WA,0.10221801925722146,0.01078167115902965,0.030168589174800354,0.07950595829195631
98005,53033023702,BELLEVUE,WA,0.13239339752407153,0.5525606469002695,0.13797692990239574,0.19122393247269115
98005,53033023801,BELLEVUE,WA,0.04238308115543329,0.03189577717879605,0.049689440993788817,0.04195630585898709
